City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,sao joao da barra,-21.6403,-41.0511,23.88,93,100,2.43,BR,1675743843
84,lunel,43.6778,4.1361,5.53,65,100,2.06,FR,1675743843
85,georgetown,5.4112,100.3354,29.96,74,20,3.09,MY,1675743839
86,castro,-24.7911,-50.0119,17.8,76,98,1.41,BR,1675743844
87,yuanping,38.7153,112.7575,4.34,29,0,0.8,CN,1675743845
88,estevan,49.1334,-102.9842,-2.81,86,0,5.14,CA,1675743846
89,alice springs,-23.7,133.8833,33.75,40,30,4.12,AU,1675743846
90,jamestown,42.097,-79.2353,-1.1,89,100,3.6,US,1675743786
91,vanimo,-2.6741,141.3028,26.91,90,100,4.73,PG,1675743847
92,fairbanks,64.8378,-147.7164,-16.4,82,0,0.0,US,1675743637
93,port macquarie,-31.4333,152.9167,27.16,62,17,5.38,AU,1675743849
94,namibe,-15.1961,12.1522,20.91,81,97,1.86,AO,1675743850
95,iquitos,-3.7481,-73.2472,23.02,94,75,0.51,PE,1675743850
96,bucerias,20.75,-105.3333,21.66,88,0,0.0,MX,1675743645
97,saint-philippe,-21.3585,55.7679,28.77,85,88,5.67,RE,1675743851
98,kaitangata,-46.2817,169.8464,12.66,88,100,5.55,NZ,1675743852
99,muroto,33.2833,134.15,12.38,65,100,5.5,JP,1675743853
100,tuy hoa,13.0833,109.3,26.23,77,96,2.22,VN,1675743853
101,la ronge,55.1001,-105.2842,-14.86,85,40,0.51,CA,1675743854
102,los llanos de aridane,28.6585,-17.9182,13.86,67,0,4.12,ES,1675743854
103,dikson,73.5069,80.5464,-33.07,99,75,1.81,RU,1675743855
104,te anau,-45.4167,167.7167,13.32,79,43,3.96,NZ,1675743856
105,bengkulu,-3.8004,102.2655,28.55,64,90,4.31,ID,1675743715
106,ribeira grande,38.5167,-28.7,13.76,64,92,7.6,PT,1675743856
107,qaanaaq,77.484,-69.3632,-28.17,94,99,1.75,GL,1675743857
108,basco,20.4487,121.9702,25.31,80,54,5.44,PH,1675743857
109,xai-xai,-25.0519,33.6442,23.32,91,76,2.75,MZ,1675743858
110,puksoozero,62.5903,40.6066,-12.68,96,99,3.25,RU,1675743858
111,palu,-0.8917,119.8707,31.05,61,82,2.01,ID,1675743858
